epoch=53 train_loss=-0.012048 validation_loss=-0.011517 validation_return=0.011524 IR=0.3929 Sharpe=6.2376 MDD=0.8919 selected_factors=24.23 selected_stocks=67.00
epoch=54 train_loss=-0.011499 validation_loss=-0.012347 validation_return=0.012358 IR=0.4195 Sharpe=6.6593 MDD=0.8856 selected_factors=23.67 selected_stocks=67.00
epoch=55 train_loss=-0.011265 validation_loss=-0.011310 validation_return=0.011323 IR=0.3960 Sharpe=6.2862 MDD=0.8499 selected_factors=23.26 selected_stocks=67.00
epoch=56 train_loss=-0.011850 validation_loss=-0.011548 validation_return=0.011593 IR=0.4003 Sharpe=6.3539 MDD=0.8468 selected_factors=24.09 selected_stocks=67.00
epoch=57 train_loss=-0.012606 validation_loss=-0.012077 validation_return=0.012134 IR=0.4083 Sharpe=6.4815 MDD=0.8870 selected_factors=24.07 selected_stocks=67.00
epoch=58 train_loss=-0.012065 validation_loss=-0.012151 validation_return=0.012283 IR=0.4085 Sharpe=6.4852 MDD=0.8266 selected_factors=23.80 selected_stocks=67.00
epoch=59 train_loss=-0.012130 validation_loss=-0.012514 validation_return=0.012600 IR=0.4224 Sharpe=6.7053 MDD=0.8302 selected_factors=24.07 selected_stocks=67.00
epoch=60 train_loss=-0.012035 validation_loss=-0.013423 validation_return=0.013447 IR=0.4489 Sharpe=7.1263 MDD=0.8227 selected_factors=24.14 selected_stocks=67.01
epoch=61 train_loss=-0.012414 validation_loss=-0.012789 validation_return=0.012832 IR=0.4215 Sharpe=6.6913 MDD=0.8269 selected_factors=23.88 selected_stocks=67.00
epoch=62 train_loss=-0.012305 validation_loss=-0.013081 validation_return=0.013098 IR=0.4259 Sharpe=6.7608 MDD=0.7760 selected_factors=23.71 selected_stocks=67.00
epoch=63 train_loss=-0.012207 validation_loss=-0.013786 validation_return=0.013850 IR=0.4592 Sharpe=7.2898 MDD=0.7559 selected_factors=24.36 selected_stocks=67.02
epoch=64 train_loss=-0.012479 validation_loss=-0.013609 validation_return=0.013624 IR=0.4411 Sharpe=7.0018 MDD=0.7904 selected_factors=23.91 selected_stocks=67.03
epoch=65 train_loss=-0.011806 validation_loss=-0.015878 validation_return=0.015897 IR=0.4352 Sharpe=6.9089 MDD=0.8436 selected_factors=24.10 selected_stocks=67.07
epoch=66 train_loss=-0.010978 validation_loss=-0.010090 validation_return=0.010100 IR=0.3217 Sharpe=5.1066 MDD=0.9245 selected_factors=22.58 selected_stocks=67.01
epoch=67 train_loss=-0.011634 validation_loss=-0.011983 validation_return=0.011996 IR=0.3686 Sharpe=5.8506 MDD=0.9136 selected_factors=23.26 selected_stocks=67.00
epoch=68 train_loss=-0.012267 validation_loss=-0.012961 validation_return=0.012975 IR=0.4034 Sharpe=6.4042 MDD=0.9223 selected_factors=24.30 selected_stocks=67.00
epoch=69 train_loss=-0.012993 validation_loss=-0.014614 validation_return=0.014624 IR=0.4236 Sharpe=6.7237 MDD=0.9123 selected_factors=24.24 selected_stocks=67.00
epoch=70 train_loss=-0.012153 validation_loss=-0.014703 validation_return=0.014715 IR=0.4386 Sharpe=6.9618 MDD=0.9156 selected_factors=24.23 selected_stocks=67.01
epoch=71 train_loss=-0.013079 validation_loss=-0.014065 validation_return=0.014074 IR=0.4173 Sharpe=6.6239 MDD=0.9366 selected_factors=24.30 selected_stocks=67.00
epoch=72 train_loss=-0.013490 validation_loss=-0.013338 validation_return=0.013351 IR=0.3968 Sharpe=6.2994 MDD=0.9534 selected_factors=24.21 selected_stocks=67.00
epoch=73 train_loss=-0.013925 validation_loss=-0.013602 validation_return=0.013613 IR=0.3938 Sharpe=6.2515 MDD=0.9497 selected_factors=24.03 selected_stocks=67.00
epoch=74 train_loss=-0.014138 validation_loss=-0.013999 validation_return=0.014015 IR=0.3851 Sharpe=6.1127 MDD=0.9673 selected_factors=23.77 selected_stocks=67.01
epoch=75 train_loss=-0.013603 validation_loss=-0.009692 validation_return=0.009703 IR=0.2418 Sharpe=3.8385 MDD=0.9980 selected_factors=23.79 selected_stocks=67.01
epoch=76 train_loss=-0.013475 validation_loss=-0.010687 validation_return=0.010704 IR=0.2928 Sharpe=4.6483 MDD=0.9928 selected_factors=23.62 selected_stocks=67.02
epoch=77 train_loss=-0.013895 validation_loss=-0.012469 validation_return=0.012480 IR=0.3549 Sharpe=5.6340 MDD=0.9824 selected_factors=23.93 selected_stocks=67.01
epoch=78 train_loss=-0.014088 validation_loss=-0.012745 validation_return=0.012756 IR=0.3342 Sharpe=5.3053 MDD=0.9916 selected_factors=24.44 selected_stocks=67.01
epoch=79 train_loss=-0.014096 validation_loss=-0.014382 validation_return=0.014394 IR=0.4117 Sharpe=6.5360 MDD=0.9542 selected_factors=24.35 selected_stocks=67.04
epoch=80 train_loss=-0.014470 validation_loss=-0.012420 validation_return=0.012430 IR=0.3540 Sharpe=5.6198 MDD=0.9774 selected_factors=24.19 selected_stocks=67.02
epoch=81 train_loss=-0.014144 validation_loss=-0.013129 validation_return=0.013137 IR=0.3780 Sharpe=6.0000 MDD=0.9694 selected_factors=24.06 selected_stocks=67.00
epoch=82 train_loss=-0.014541 validation_loss=-0.013181 validation_return=0.013190 IR=0.3523 Sharpe=5.5927 MDD=0.9846 selected_factors=23.84 selected_stocks=67.00
epoch=83 train_loss=-0.014877 validation_loss=-0.012287 validation_return=0.012294 IR=0.3572 Sharpe=5.6710 MDD=0.9703 selected_factors=23.63 selected_stocks=67.01
{"run_id": "theta_0p015", "theta": 0.015, "gamma_p": 0.5, "gamma_p_mode": "inverse_n", "lambda_s": 0.0, "seed": 42, "initial_state_sha256": "5161a1999abd07ec1bb35d0a50740621fe212fa17b6de8e9f99473617ad46e4a", "best_epoch": 63, "best_validation_ir": 0.45921316742897034, "epochs_completed": 84, "stopped_early": true, "oos_evaluated": false}
