period,score_type,decile,mean_execution_return,d10_minus_d1,d10_minus_d5,monotonicity_spearman,non_decreasing_adjacent_fraction,date_count
2022,Factor Mean,10,-0.00017426764954158458,0.0015977595358306813,0.00018406236358364578,0.7454545454545454,0.7777777777777778,242
2023,Factor Mean,1,-0.0007083340909088769,0.0007361653481835029,0.0005778794402681077,0.709090909090909,0.4444444444444444,242
2023,Factor Mean,2,-0.000457000504817932,0.0007361653481835029,0.0005778794402681077,0.709090909090909,0.4444444444444444,242
2023,Factor Mean,3,-0.0005799601778554848,0.0007361653481835029,0.0005778794402681077,0.709090909090909,0.4444444444444444,242
2023,Factor Mean,4,-0.0002737318361808749,0.0007361653481835029,0.0005778794402681077,0.709090909090909,0.4444444444444444,242
2023,Factor Mean,5,-0.0005500481829934817,0.0007361653481835029,0.0005778794402681077,0.709090909090909,0.4444444444444444,242
2023,Factor Mean,6,6.972142364821656e-05,0.0007361653481835029,0.0005778794402681077,0.709090909090909,0.4444444444444444,242
2023,Factor Mean,7,6.109003001382282e-05,0.0007361653481835029,0.0005778794402681077,0.709090909090909,0.4444444444444444,242
2023,Factor Mean,8,4.937287018337203e-05,0.0007361653481835029,0.0005778794402681077,0.709090909090909,0.4444444444444444,242
2023,Factor Mean,9,2.1379061929855842e-05,0.0007361653481835029,0.0005778794402681077,0.709090909090909,0.4444444444444444,242
2023,Factor Mean,10,2.7831257274625952e-05,0.0007361653481835029,0.0005778794402681077,0.709090909090909,0.4444444444444444,242
2024,Factor Mean,1,-0.00047275415497408124,0.0009589438407437785,8.625499747634178e-05,0.8666666666666665,0.7777777777777778,242
2024,Factor Mean,2,0.00032223901890315464,0.0009589438407437785,8.625499747634178e-05,0.8666666666666665,0.7777777777777778,242
2024,Factor Mean,3,-1.9759551745817988e-05,0.0009589438407437785,8.625499747634178e-05,0.8666666666666665,0.7777777777777778,242
2024,Factor Mean,4,-7.715138395312795e-06,0.0009589438407437785,8.625499747634178e-05,0.8666666666666665,0.7777777777777778,242
2024,Factor Mean,5,0.0003999346882933554,0.0009589438407437785,8.625499747634178e-05,0.8666666666666665,0.7777777777777778,242
2024,Factor Mean,6,0.0004108937892606253,0.0009589438407437785,8.625499747634178e-05,0.8666666666666665,0.7777777777777778,242
2024,Factor Mean,7,0.0003547832177186435,0.0009589438407437785,8.625499747634178e-05,0.8666666666666665,0.7777777777777778,242
2024,Factor Mean,8,0.0003964399565777857,0.0009589438407437785,8.625499747634178e-05,0.8666666666666665,0.7777777777777778,242
2024,Factor Mean,9,0.000439397173941284,0.0009589438407437785,8.625499747634178e-05,0.8666666666666665,0.7777777777777778,242
2024,Factor Mean,10,0.0004861896857696972,0.0009589438407437785,8.625499747634178e-05,0.8666666666666665,0.7777777777777778,242
2025,Factor Mean,1,0.0017318537367999242,-0.0008151847420250815,-0.0004571467537916779,-0.8909090909090909,0.3333333333333333,243
2025,Factor Mean,2,0.0016177634853532857,-0.0008151847420250815,-0.0004571467537916779,-0.8909090909090909,0.3333333333333333,243
2025,Factor Mean,3,0.0018074031094046864,-0.0008151847420250815,-0.0004571467537916779,-0.8909090909090909,0.3333333333333333,243
2025,Factor Mean,4,0.001319982615578869,-0.0008151847420250815,-0.0004571467537916779,-0.8909090909090909,0.3333333333333333,243
2025,Factor Mean,5,0.0013738157485665206,-0.0008151847420250815,-0.0004571467537916779,-0.8909090909090909,0.3333333333333333,243
2025,Factor Mean,6,0.001365033953440687,-0.0008151847420250815,-0.0004571467537916779,-0.8909090909090909,0.3333333333333333,243
2025,Factor Mean,7,0.0011313819342118094,-0.0008151847420250815,-0.0004571467537916779,-0.8909090909090909,0.3333333333333333,243
2025,Factor Mean,8,0.0010768135208165876,-0.0008151847420250815,-0.0004571467537916779,-0.8909090909090909,0.3333333333333333,243
2025,Factor Mean,9,0.0011319751902726717,-0.0008151847420250815,-0.0004571467537916779,-0.8909090909090909,0.3333333333333333,243
2025,Factor Mean,10,0.0009166689947748427,-0.0008151847420250815,-0.0004571467537916779,-0.8909090909090909,0.3333333333333333,243
2026 YTD,Factor Mean,1,-0.0011528661905082734,0.001598989400360705,0.0006163709436672192,0.4666666666666666,0.7777777777777778,161
2026 YTD,Factor Mean,2,-0.00022500669511486368,0.001598989400360705,0.0006163709436672192,0.4666666666666666,0.7777777777777778,161
2026 YTD,Factor Mean,3,-0.00013381705984927692,0.001598989400360705,0.0006163709436672192,0.4666666666666666,0.7777777777777778,161
2026 YTD,Factor Mean,4,4.669716422624453e-05,0.001598989400360705,0.0006163709436672192,0.4666666666666666,0.7777777777777778,161
2026 YTD,Factor Mean,5,-0.00017024773381478777,0.001598989400360705,0.0006163709436672192,0.4666666666666666,0.7777777777777778,161
2026 YTD,Factor Mean,6,0.00023055536758160555,0.001598989400360705,0.0006163709436672192,0.4666666666666666,0.7777777777777778,161
2026 YTD,Factor Mean,7,0.0003335169848207863,0.001598989400360705,0.0006163709436672192,0.4666666666666666,0.7777777777777778,161
2026 YTD,Factor Mean,8,-0.0003771846339635834,0.001598989400360705,0.0006163709436672192,0.4666666666666666,0.7777777777777778,161
2026 YTD,Factor Mean,9,-0.0001956943111504993,0.001598989400360705,0.0006163709436672192,0.4666666666666666,0.7777777777777778,161
2026 YTD,Factor Mean,10,0.0004461232098524315,0.001598989400360705,0.0006163709436672192,0.4666666666666666,0.7777777777777778,161
stitched,MLP,1,-0.00038598411443829827,0.0005621375096102686,-9.937570574179602e-05,0.6,0.5555555555555556,1130
stitched,MLP,2,-8.027813823363416e-06,0.0005621375096102686,-9.937570574179602e-05,0.6,0.5555555555555556,1130
stitched,MLP,3,0.00021606833922599574,0.0005621375096102686,-9.937570574179602e-05,0.6,0.5555555555555556,1130
stitched,MLP,4,0.0001246717884052245,0.0005621375096102686,-9.937570574179602e-05,0.6,0.5555555555555556,1130
stitched,MLP,5,0.00027552910091376633,0.0005621375096102686,-9.937570574179602e-05,0.6,0.5555555555555556,1130
stitched,MLP,6,0.00035608895943432236,0.0005621375096102686,-9.937570574179602e-05,0.6,0.5555555555555556,1130
stitched,MLP,7,0.00033015979265570936,0.0005621375096102686,-9.937570574179602e-05,0.6,0.5555555555555556,1130
stitched,MLP,8,0.00014033777291744907,0.0005621375096102686,-9.937570574179602e-05,0.6,0.5555555555555556,1130
stitched,MLP,9,0.0003905294306312109,0.0005621375096102686,-9.937570574179602e-05,0.6,0.5555555555555556,1130
stitched,MLP,10,0.0001761533951719703,0.0005621375096102686,-9.937570574179602e-05,0.6,0.5555555555555556,1130
2022,MLP,1,-0.0018295682256765468,0.0011978104077729728,-0.0003669463526048648,0.6969696969696969,0.6666666666666666,242
2022,MLP,2,-0.0011968522407795348,0.0011978104077729728,-0.0003669463526048648,0.6969696969696969,0.6666666666666666,242
2022,MLP,3,-0.0008348827987557551,0.0011978104077729728,-0.0003669463526048648,0.6969696969696969,0.6666666666666666,242
2022,MLP,4,-0.0003655247694619042,0.0011978104077729728,-0.0003669463526048648,0.6969696969696969,0.6666666666666666,242
2022,MLP,5,-0.0002648114652987092,0.0011978104077729728,-0.0003669463526048648,0.6969696969696969,0.6666666666666666,242
2022,MLP,6,3.8787447316112295e-06,0.0011978104077729728,-0.0003669463526048648,0.6969696969696969,0.6666666666666666,242
2022,MLP,7,-6.7290842960958e-05,0.0011978104077729728,-0.0003669463526048648,0.6969696969696969,0.6666666666666666,242
2022,MLP,8,-0.00012001975217387543,0.0011978104077729728,-0.0003669463526048648,0.6969696969696969,0.6666666666666666,242
2022,MLP,9,0.0001475419626471586,0.0011978104077729728,-0.0003669463526048648,0.6969696969696969,0.6666666666666666,242
2022,MLP,10,-0.000631757817903574,0.0011978104077729728,-0.0003669463526048648,0.6969696969696969,0.6666666666666666,242
2023,MLP,1,-0.0003922496073118212,0.00030430817813300996,-2.017237934046358e-06,-0.17575757575757575,0.4444444444444444,242
2023,MLP,2,-6.462666684190158e-05,0.00030430817813300996,-2.017237934046358e-06,-0.17575757575757575,0.4444444444444444,242
2023,MLP,3,-0.00012047103092879191,0.00030430817813300996,-2.017237934046358e-06,-0.17575757575757575,0.4444444444444444,242
2023,MLP,4,-0.00013257211105994896,0.00030430817813300996,-2.017237934046358e-06,-0.17575757575757575,0.4444444444444444,242
2023,MLP,5,-8.592419124476488e-05,0.00030430817813300996,-2.017237934046358e-06,-0.17575757575757575,0.4444444444444444,242
2023,MLP,6,-0.000257677393453832,0.00030430817813300996,-2.017237934046358e-06,-0.17575757575757575,0.4444444444444444,242
2023,MLP,7,-0.000470528563237323,0.00030430817813300996,-2.017237934046358e-06,-0.17575757575757575,0.4444444444444444,242
2023,MLP,8,-0.0003412313239577688,0.00030430817813300996,-2.017237934046358e-06,-0.17575757575757575,0.4444444444444444,242
2023,MLP,9,-0.00038773566642921113,0.00030430817813300996,-2.017237934046358e-06,-0.17575757575757575,0.4444444444444444,242
2023,MLP,10,-8.794142917881124e-05,0.00030430817813300996,-2.017237934046358e-06,-0.17575757575757575,0.4444444444444444,242
2024,MLP,1,-0.00019831180976471056,0.0004102739028351101,-7.568858979161699e-05,0.29696969696969694,0.5555555555555556,242
2024,MLP,2,-0.00015803256690410987,0.0004102739028351101,-7.568858979161699e-05,0.29696969696969694,0.5555555555555556,242
2024,MLP,3,0.00043295824599604455,0.0004102739028351101,-7.568858979161699e-05,0.29696969696969694,0.5555555555555556,242
2024,MLP,4,0.0003042835420048047,0.0004102739028351101,-7.568858979161699e-05,0.29696969696969694,0.5555555555555556,242
2024,MLP,5,0.0002876506828620165,0.0004102739028351101,-7.568858979161699e-05,0.29696969696969694,0.5555555555555556,242
2024,MLP,6,0.00029334118151695606,0.0004102739028351101,-7.568858979161699e-05,0.29696969696969694,0.5555555555555556,242
2024,MLP,7,0.0005674020069056204,0.0004102739028351101,-7.568858979161699e-05,0.29696969696969694,0.5555555555555556,242
2024,MLP,8,0.00013525329511725133,0.0004102739028351101,-7.568858979161699e-05,0.29696969696969694,0.5555555555555556,242
2024,MLP,9,0.00042777361292114667,0.0004102739028351101,-7.568858979161699e-05,0.29696969696969694,0.5555555555555556,242
2024,MLP,10,0.00021196209307039953,0.0004102739028351101,-7.568858979161699e-05,0.29696969696969694,0.5555555555555556,242
2025,MLP,1,0.0018337619845617506,-0.0007187759749477517,-0.0003870473280119767,-0.7818181818181817,0.2222222222222222,243
2025,MLP,2,0.0016843404819942198,-0.0007187759749477517,-0.0003870473280119767,-0.7818181818181817,0.2222222222222222,243
2025,MLP,3,0.0014505944435037903,-0.0007187759749477517,-0.0003870473280119767,-0.7818181818181817,0.2222222222222222,243
2025,MLP,4,0.001122074292573017,-0.0007187759749477517,-0.0003870473280119767,-0.7818181818181817,0.2222222222222222,243
2025,MLP,5,0.0015020333376259756,-0.0007187759749477517,-0.0003870473280119767,-0.7818181818181817,0.2222222222222222,243
2025,MLP,6,0.001437191833772197,-0.0007187759749477517,-0.0003870473280119767,-0.7818181818181817,0.2222222222222222,243
2025,MLP,7,0.0010384003245658994,-0.0007187759749477517,-0.0003870473280119767,-0.7818181818181817,0.2222222222222222,243
2025,MLP,8,0.0010261091826393586,-0.0007187759749477517,-0.0003870473280119767,-0.7818181818181817,0.2222222222222222,243
2025,MLP,9,0.0012652904931996169,-0.0007187759749477517,-0.0003870473280119767,-0.7818181818181817,0.2222222222222222,243
2025,MLP,10,0.001114986009613999,-0.0007187759749477517,-0.0003870473280119767,-0.7818181818181817,0.2222222222222222,243
2026 YTD,MLP,1,-0.0018390983727797356,0.0021557699720283394,0.0005550545394948365,0.7696969696969697,0.6666666666666666,161
2026 YTD,MLP,2,-0.00046487198701747757,0.0021557699720283394,0.0005550545394948365,0.7696969696969697,0.6666666666666666,161
2026 YTD,MLP,3,0.00011231369445075595,0.0021557699720283394,0.0005550545394948365,0.7696969696969697,0.6666666666666666,161
2026 YTD,MLP,4,-0.0005272180389826941,0.0021557699720283394,0.0005550545394948365,0.7696969696969697,0.6666666666666666,161
2026 YTD,MLP,5,-0.00023838294024623272,0.0021557699720283394,0.0005550545394948365,0.7696969696969697,0.6666666666666666,161
2026 YTD,MLP,6,0.00027064357526592836,0.0021557699720283394,0.0005550545394948365,0.7696969696969697,0.6666666666666666,161
2026 YTD,MLP,7,0.0007055297978898255,0.0021557699720283394,0.0005550545394948365,0.7696969696969697,0.6666666666666666,161
2026 YTD,MLP,8,-7.37353104295876e-05,0.0021557699720283394,0.0005550545394948365,0.7696969696969697,0.6666666666666666,161
2026 YTD,MLP,9,0.0005493063897770226,0.0021557699720283394,0.0005550545394948365,0.7696969696969697,0.6666666666666666,161
2026 YTD,MLP,10,0.0003166715992486038,0.0021557699720283394,0.0005550545394948365,0.7696969696969697,0.6666666666666666,161
